media_type,file_path,actual_label,predicted_label,confidence,pass,error
image,E:\FakeDetection\raw_datasets\image\test\real\real_002355.jpg,real,real,94.65,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_3093.jpg,real,real,95.46,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_002221.jpg,real,real,94.77,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_5429.jpg,real,real,93.98,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_013453.jpg,real,real,95.34,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_008992.jpg,real,real,95.28,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_016447.jpg,fake,fake,94.77,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_009857.jpg,fake,fake,94.37,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_003183.jpg,fake,fake,94.88,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_015875.jpg,fake,fake,93.74,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_010681.jpg,fake,fake,94.61,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_488.jpg,fake,fake,94.22,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_002796.jpg,fake,fake,94.85,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_8837.jpg,fake,fake,94.8,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_015028.jpg,fake,fake,94.59,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_010709.jpg,fake,fake,77.11,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_003515.jpg,fake,fake,95.47,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_010521.jpg,fake,fake,94.72,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_005747.jpg,fake,real,72.93,False,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_008179.jpg,fake,fake,93.95,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_5940.jpg,fake,fake,94.8,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_008396.jpg,fake,fake,94.79,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_005435.jpg,fake,fake,94.91,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_013966.jpg,fake,fake,94.22,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_7138.jpg,fake,fake,94.7,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_006994.jpg,fake,fake,94.44,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_008287.jpg,fake,fake,94.24,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_007487.jpg,fake,fake,94.01,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_007474.jpg,fake,fake,94.91,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_6193.jpg,fake,fake,94.87,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_6701.jpg,fake,fake,94.83,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_006687.jpg,fake,fake,93.75,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_005943.jpg,fake,fake,94.7,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_013833.jpg,fake,fake,94.89,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_007008.jpg,fake,fake,94.97,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_008519.jpg,fake,fake,94.64,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_001503.jpg,fake,fake,94.77,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_004175.jpg,fake,fake,95.38,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_003773.jpg,fake,fake,95.14,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_3371.jpg,fake,fake,94.46,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_011652.jpg,fake,fake,94.86,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_4777.jpg,fake,fake,94.34,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_006517.jpg,fake,fake,95.24,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_3825.jpg,fake,fake,95.01,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_2430.jpg,fake,fake,95.05,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_005112.jpg,fake,fake,94.93,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_1354.jpg,fake,fake,95.45,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_004901.jpg,fake,fake,95.02,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_1648.jpg,fake,fake,94.93,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_7864.jpg,fake,fake,94.67,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_002693.jpg,fake,fake,94.82,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_406.jpg,fake,fake,94.08,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_008431.jpg,fake,fake,95.3,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_015494.jpg,fake,fake,94.94,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_2971.jpg,fake,fake,94.5,True,
image,E:\FakeDetection\raw_datasets\image\test\fake\fake_005570.jpg,fake,fake,95.28,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06509.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02246.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00886.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06813.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01821.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02098.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_04190.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_05319.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02046.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00412.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_05462.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_03032.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01027.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02805.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00957.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_03414.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_05544.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06344.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01768.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02808.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01706.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00733.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00774.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02660.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02990.wav,real,real,99.99,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01040.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01147.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01485.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06676.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_04823.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_04184.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_03168.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01309.wav,real,real,99.75,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_04020.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00245.flac,real,real,99.99,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06496.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00314.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06486.wav,real,real,99.99,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_03184.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06565.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00414.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06078.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00614.wav,real,real,99.99,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02154.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_01847.flac,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_05070.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_02502.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06007.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_00797.flac,real,real,96.35,True,
audio,E:\FakeDetection\raw_datasets\audio\test\real\real_06793.wav,real,real,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06942.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_07197.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00299.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06263.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_03411.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_01136.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_01555.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06718.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06137.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_01604.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_03062.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00671.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02230.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02973.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_04477.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02558.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02060.wav,fake,fake,99.99,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00898.flac,fake,fake,99.99,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_03654.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_03951.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_01747.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06548.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06374.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_01139.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_04280.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_01083.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00146.wav,fake,fake,99.97,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_04860.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06527.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02940.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06795.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06383.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_04400.wav,fake,fake,99.99,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_05026.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02084.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06553.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_05662.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06329.wav,fake,fake,99.97,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00335.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_03361.flac,fake,fake,99.98,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02338.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00631.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_05360.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_01574.flac,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00142.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_05035.flac,fake,fake,99.84,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_02061.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_06568.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_00432.wav,fake,fake,100.0,True,
audio,E:\FakeDetection\raw_datasets\audio\test\fake\fake_04210.flac,fake,fake,100.0,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1592.mp4,real,real,99.6,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0503.mp4,real,real,99.64,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0808.mp4,real,real,99.51,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1454.mp4,real,real,99.53,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00256.mp4,real,real,99.69,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0624.mp4,real,real,99.44,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0239.mp4,real,real,99.62,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0778.mp4,real,real,99.68,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1591.mp4,real,real,99.65,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1058.mp4,real,real,99.83,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1435.mp4,real,real,99.66,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1424.mp4,real,real,99.2,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0015.mp4,real,real,99.65,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00095.mp4,real,real,92.21,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00102.mp4,real,real,99.97,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1486.mp4,real,real,99.73,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1163.mp4,real,real,99.64,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1711.mp4,real,real,99.61,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1655.mp4,real,real,99.52,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0852.mp4,real,real,99.6,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1396.mp4,real,real,99.7,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0888.mp4,real,real,99.67,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1514.mp4,real,real,99.56,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0687.mp4,real,real,99.52,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0654.mp4,real,real,99.54,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00311.mp4,real,real,98.36,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00136.mp4,real,real,99.66,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0508.mp4,real,real,99.47,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1322.mp4,real,real,99.63,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0725.mp4,real,real,99.65,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1546.mp4,real,real,99.64,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1014.mp4,real,real,99.63,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1001.mp4,real,real,99.71,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00242.mp4,real,real,97.12,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1024.mp4,real,real,99.77,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0749.mp4,real,real,99.42,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0555.mp4,real,real,99.58,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0756.mp4,real,real,99.42,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00240.mp4,real,real,99.97,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0685.mp4,real,real,99.61,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00177.mp4,real,real,99.94,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0894.mp4,real,real,99.62,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00171.mp4,real,real,99.96,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0420.mp4,real,real,99.54,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1590.mp4,real,real,99.68,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_00060.mp4,real,real,99.89,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_0457.mp4,real,real,99.66,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1121.mp4,real,fake,99.78,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1666.mp4,real,real,99.56,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\real\real_1303.mp4,real,real,99.6,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1135.mp4,fake,fake,99.62,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1580.mp4,fake,fake,99.98,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0796.mp4,fake,fake,67.02,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00544.mp4,fake,fake,99.94,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1541.mp4,fake,fake,99.81,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00815.mp4,fake,real,68.28,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0196.mp4,fake,real,99.95,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1152.mp4,fake,fake,99.9,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1311.mp4,fake,fake,99.8,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00840.mp4,fake,fake,99.93,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00384.mp4,fake,fake,99.82,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0424.mp4,fake,real,98.02,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0047.mp4,fake,fake,62.14,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1734.mp4,fake,fake,99.97,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_01745.mp4,fake,fake,99.74,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1466.mp4,fake,fake,99.96,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00181.mp4,fake,fake,99.88,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00963.mp4,fake,fake,99.71,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00621.mp4,fake,fake,99.99,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_01723.mp4,fake,fake,99.55,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_01412.mp4,fake,fake,99.79,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_01426.mp4,fake,fake,99.5,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0680.mp4,fake,real,99.76,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0870.mp4,fake,real,99.9,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00461.mp4,fake,fake,99.89,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00929.mp4,fake,fake,99.71,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0842.mp4,fake,fake,79.21,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0306.mp4,fake,real,99.71,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1382.mp4,fake,fake,99.87,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0311.mp4,fake,real,99.88,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0354.mp4,fake,fake,91.41,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00596.mp4,fake,fake,99.73,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_1600.mp4,fake,fake,99.75,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0739.mp4,fake,real,99.82,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0457.mp4,fake,real,99.56,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0956.mp4,fake,real,99.93,False,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_0653.mp4,fake,fake,99.18,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_02043.mp4,fake,fake,100.0,True,
video,E:\FakeDetection\raw_datasets\video\version1\test\fake\fake_00456.mp4,fake,fake,99.96,True,
